,weighted_degree,betweenness,eigenvector,clustering
102,4.047927043859447,0.00028686173264486515,0.054156661686475656,0.2798339941675701
36,3.995557110866109,0.004016064257028112,0.03864213769867895,0.10736737936065825
20,3.964117448693167,0.0,0.0927696060573013,0.45352550331036134
126,3.812791509463249,0.0028686173264486515,0.037941164990883715,0.13704817858187676
63,3.659678748563317,0.0031554790590935166,0.03815811990721292,0.08747995992143315
115,3.4888090088398926,0.001721170395869191,0.03386890356966261,0.14932774711539284
26,3.4797702145596925,0.0028686173264486515,0.05072338204833712,0.12644697271380723
117,3.4305769538702067,0.00028686173264486515,0.04545532043237124,0.18890854142736554
22,3.161109855371018,0.0,0.05345763576338827,0.2555936806390788
65,3.082432828025859,0.0,0.03839717499671618,0.2869655268482439
69,3.072010160142974,0.0,0.05230544267819809,0.28423831175869485
116,3.0191744173365405,0.0005737234652897303,0.033788457668397116,0.18583835976372423
31,3.0185654888078868,0.0,0.056388016976336844,0.25267455878483724
58,3.014628479955757,0.00028686173264486515,0.04437565036490859,0.17406872503198612
109,3.0137023745134557,0.0,0.04937554111884934,0.22455849601068362
108,2.8759824354372987,0.002294893861158921,0.03873389497239588,0.15562584747626698
89,2.850054680781387,0.0008605851979345954,0.03036962518598325,0.15487679699292636
111,2.738595379095715,0.0,0.034645453534299195,0.09505962036007021
42,2.6280140201438873,0.00028686173264486515,0.02964072666883825,0.14081228146425726
40,2.592360932996671,0.002008032128514056,0.018638363530561225,0.09369299544097713
101,2.5718141756622415,0.00028686173264486515,0.03338555272436298,0.23387527159940452
125,1.7604384461979503,0.0,0.01681169401859856,0.1215984562827803
120,1.6445774296353124,0.0005737234652897303,0.011529096648242495,0.058378965621595724
119,0.9542100671426388,0.0,0.0059772935538593835,0.04650874861842698
